,Mittelwert,Std.Abw.,Min,Max
Anbieter,406.3333333333333,18.583146486355137,391.0,427.0
Nachfrager,16688.666666666668,342.0589617790087,16381.0,17057.0
Netzwerkeffekte,9319.838355555554,208.36317323188214,9132.262799999999,9544.112799999999
Neue Anbieter,3.6666666666666665,1.5275252316519465,2.0,5.0
Neue Nachfrager,50.666666666666664,7.023769168568493,44.0,58.0
Abgewanderte Anbieter,0.6666666666666666,0.5773502691896258,0.0,1.0
Abgewanderte Nachfrager,0.0,0.0,0.0,0.0
Beitrittsrate Anbieter,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
Beitrittsrate Nachfrager,0.3,0.0,0.3,0.3
Seed,11043.0,1.0,11042.0,11044.0
